MouseID,Timepoint,Age_at_S1K,Qall,YFP+,YFP+.Ki67+,YFP-,YFP-.Ki67+,population,organ,YFP+frac,YFP+.Ki67+frac,YFP-frac,YFP-.Ki67+frac,Ki67+frac,YFP+.Ki67-,YFP-.Ki67-
BPS1-01423,2,133,15776.7614692011,2771.18765185079,1009.00385879663,13005.5738173503,324.424753465771,4EM.CD69+,LP,0.17564996829423,0.364105208870552,0.82435003170577,0.024945054945055,0.084518525228735,1762.18379305417,12681.1490638845
BPS1-01423,2,133,6368.44361869373,1057.59611261969,633.128483635844,5310.84750607403,57.1673574389024,4EM.CD69-CD103-,LP,0.166068222621185,0.598648648648649,0.833931777378815,0.010764262648009,0.108393177737882,424.46762898385,5253.68014863513
BPS1-01423,2,133,6618.55080748892,1193.36858653709,720.30870373017,5425.18222095184,67.1716449907103,4EM.CD69-,LP,0.180306629237746,0.603592814371258,0.819693370762255,0.012381454162276,0.11898078168862,473.059882806917,5358.01057596113
BPS1-01423,2,133,9139.63127054452,1502.07231670716,604.544804916393,7637.55895383736,190.08146348435,4EM.CD69+CD103-,LP,0.164347146207975,0.402473834443387,0.835652853792025,0.024887724550898,0.0869429241595,897.527511790767,7447.47749035301
BPS1-01423,2,133,250.107188795198,135.772473917393,87.1802200943261,114.334714877805,10.0042875518079,4EM.CD69-CD103+,LP,0.542857142857143,0.642105263157895,0.457142857142857,0.0875,0.388571428571429,48.592253823067,104.330427325997
BPS1-01423,2,133,6637.13019865657,1269.11533514363,404.459053880234,5368.01486351293,134.343289981421,4EM.CD69+CD103+,LP,0.191214470284238,0.318693693693694,0.808785529715762,0.025026624068158,0.081180017226529,864.656281263399,5233.67157353151
BPS1-01422,3,133,4550.84494515268,2106.43344203973,1234.80581085087,2444.41150311296,72.6356359324044,4EM.CD69-,LP,0.462866449511401,0.586206896551724,0.537133550488599,0.029714978775015,0.287296416938111,871.627631188853,2371.77586718055
BPS1-01422,3,133,13618.4405573673,3357.54521197747,1099.91105840498,10260.8953453899,197.153868959383,4EM.CD69+CD103+,LP,0.246544029607053,0.327593818984547,0.753455970392947,0.019214099971107,0.095243278545771,2257.63415357249,10063.7414764305
BPS1-01422,3,133,26123.6288170768,6074.71093981619,1998.22116809961,20048.9178772606,539.579009783575,4EM.CD69+,LP,0.232537025478068,0.328940946803319,0.767462974521932,0.026913123844732,0.097145775407138,4076.48977171657,19509.338867477
BPS1-01422,3,133,456.566854432256,326.119181737326,191.224429291432,130.44767269493,22.2353987548177,4EM.CD69-CD103+,LP,0.714285714285714,0.586363636363636,0.285714285714286,0.170454545454545,0.467532467532468,134.894752445894,108.212273940113
